City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.52,-28.7,77.0,83,20,8.05,PT,1595870936
Isetskoye,56.49,65.32,59.31,78,22,5.93,RU,1595870936
Cape Town,-33.93,18.42,59.0,82,0,8.05,ZA,1595870818
Oberá,-27.49,-55.12,67.93,78,63,1.68,AR,1595870937
Busselton,-33.65,115.33,51.01,98,18,8.08,AU,1595871401
Muisne,0.6,-80.03,80.6,83,75,8.05,EC,1595870937
Qaanaaq,77.48,-69.36,45.88,56,73,2.06,GL,1595871402
Boden,65.83,21.69,64.4,77,100,8.05,SE,1595870937
Marsh Harbour,26.54,-77.06,83.41,72,20,7.54,BS,1595870937
Avarua,-21.21,-159.78,69.8,88,60,6.93,CK,1595871402
Sarakhs,36.54,61.16,93.2,21,0,7.23,IR,1595871402
Laas,46.62,10.7,68.0,72,40,9.17,IT,1595871402
Ambon City,-3.7,128.18,79.0,14,97,13.6,ID,1595870937
Albany,42.6,-73.97,93.0,37,87,7.63,US,1595870938
Istiaia,38.96,23.15,78.8,78,20,2.24,GR,1595870938
Vaini,-21.2,-175.2,68.0,94,20,9.17,TO,1595870938
Salinas,36.68,-121.66,62.6,77,90,4.7,US,1595870938
Hamilton,39.18,-84.53,91.99,62,75,9.17,US,1595870754
Brae,60.4,-1.35,53.6,93,75,10.29,GB,1595870899
East London,-33.02,27.91,60.44,65,15,11.01,ZA,1595870837
Tignère,7.37,12.65,68.9,97,95,3.18,CM,1595870652
Kapaa,22.08,-159.32,78.8,94,75,18.34,US,1595871370
Bara,10.37,10.73,78.8,74,100,7.02,NG,1595871403
Acaraú,-2.89,-40.12,86.97,49,25,16.15,BR,1595870938
Chui,-33.7,-53.46,58.46,69,1,7.0,UY,1595870652
Tuktoyaktuk,69.45,-133.04,62.6,72,40,8.05,CA,1595870652
New Norfolk,-42.78,147.06,43.0,89,95,2.24,AU,1595870653
Bagdarin,54.43,113.6,60.46,92,100,3.24,RU,1595870939
Metro,-5.11,105.31,72.48,87,98,4.52,ID,1595870653
Okato,-39.2,173.88,42.01,68,68,8.99,NZ,1595870939
Edd,13.93,41.69,88.86,64,100,2.55,ER,1595871404
Longyearbyen,78.22,15.64,68.0,45,0,10.29,SJ,1595871404
Ushuaia,-54.8,-68.3,33.8,86,90,27.51,AR,1595871404
Barrow,71.29,-156.79,37.4,93,90,23.04,US,1595871127
Praia da Vitória,38.73,-27.07,82.4,61,40,3.71,PT,1595870705
